package	version	architecture	installed_size_kib	match
7zip	25.01+dfsg-1~deb13u1	arm64	6938	exact
adduser	3.152	all	428	exact
alsa-topology-conf	1.2.5.1-3	all	420	exact
alsa-ucm-conf	1.2.14-1	all	1353	exact
alsa-utils	1.2.14-1+rpt1	arm64	3474	exact
apparmor	4.1.0-1	arm64	3328	exact
apt	3.0.3	arm64	4912	exact
apt-listchanges	4.8	all	553	exact
apt-utils	3.0.3	arm64	1154	exact
avahi-daemon	0.8-16	arm64	315	exact
base-files	13.8+deb13u2	arm64	348	fallback
base-passwd	3.6.7	arm64	300	exact
bash	5.2.37-2+b5	arm64	7359	exact
bash-completion	1:2.16.0-7	all	1952	exact
binutils	2.44-3	arm64	1237	exact
binutils-aarch64-linux-gnu	2.44-3	arm64	9228	exact
binutils-common:arm64	2.44-3	arm64	16098	exact
bluez	5.82-1.1+rpt1	arm64	5567	exact
bluez-firmware	1.2-13+rpt2	all	476	exact
bsdextrautils	2.41-5	arm64	555	exact
bsdutils	1:2.41-5	arm64	553	exact
build-essential	12.12	arm64	17	exact
busybox	1:1.37.0-6+b3	arm64	967	exact
bzip2	1.0.8-6	arm64	193	exact
ca-certificates	20250419	all	390	exact
cifs-utils	2:7.4-1	arm64	652	exact
cloud-guest-utils	0.33-1	all	71	exact
cloud-init	25.2-1~bpo13+1+rpt19	all	3229	exact
console-setup	1.242~deb13u1	all	411	exact
console-setup-linux	1.242~deb13u1	all	7283	exact
coreutils	9.7-3	arm64	21046	exact
cpio	2.15+dfsg-2	arm64	1281	exact
cpp	4:14.2.0-1	arm64	18	exact
cpp-14	14.2.0-19	arm64	11	exact
cpp-14-aarch64-linux-gnu	14.2.0-19	arm64	30958	exact
cpp-aarch64-linux-gnu	4:14.2.0-1	arm64	17	exact
cron	3.0pl1-197	arm64	273	exact
cron-daemon-common	3.0pl1-197	all	56	exact
curl	8.14.1-2+deb13u2	arm64	502	exact
dash	0.5.12-12	arm64	275	exact
dbus	1.16.2-2	arm64	169	exact
dbus-bin	1.16.2-2	arm64	418	exact
dbus-daemon	1.16.2-2	arm64	420	exact
dbus-session-bus-common	1.16.2-2	all	80	exact
dbus-system-bus-common	1.16.2-2	all	91	exact
dbus-user-session	1.16.2-2	arm64	84	exact
dconf-cli	0.40.0-5	arm64	92	exact
debconf	1.5.91	all	497	exact
debconf-i18n	1.5.91	all	842	exact
debconf-utils	1.5.91	all	108	exact
debian-archive-keyring	2025.1	all	302	exact
debianutils	5.23.2	arm64	369	exact
device-tree-compiler	1.7.2-2+b1	arm64	712	exact
dhcpcd-base	1:10.1.0-11+deb13u1	arm64	563	fallback
diffutils	1:3.10-4	arm64	1876	exact
dirmngr	2.4.7-21+b3	arm64	1051	exact
distro-info-data	0.66+deb13u1	all	18	exact
dmidecode	3.6-2	arm64	222	exact
dmsetup	2:1.02.205-2	arm64	275	exact
dns-root-data	2025080400~deb13u1	all	19	exact
dnsmasq-base	2.91-1	arm64	1153	exact
dos2unix	7.5.2-1+b1	arm64	1896	exact
dosfstools	4.2-1.2	arm64	374	exact
dpkg	1.22.21	arm64	6906	exact
dpkg-dev	1.22.21	all	1726	exact
dracut-install	106-6	arm64	152	exact
e2fsprogs	1.47.2-3+b3	arm64	2125	exact
eatmydata	131-2	all	21	exact
ed	1.21.1-1	arm64	123	exact
eject	2.41-5	arm64	194	exact
ethtool	1:6.14.2-1	arm64	795	exact
exfatprogs	1.2.9-1	arm64	427	exact
fakeroot	1.37.1.1-1	arm64	289	exact
fbset	2.1-34	arm64	385	exact
fdisk	2.41-5	arm64	605	exact
file	1:5.46-5	arm64	119	exact
findutils	4.10.0-3	arm64	2248	exact
firmware-atheros	1:20241210-1+rpt4	all	82108	exact
firmware-brcm80211	1:20241210-1+rpt4	all	20364	exact
firmware-libertas	1:20241210-1+rpt4	all	11380	exact
firmware-mediatek	1:20241210-1+rpt4	all	33061	exact
firmware-realtek	1:20241210-1+rpt4	all	17661	exact
flashrom	1.4.0-3	arm64	889	exact
fuse3	3.17.2-3	arm64	185	exact
g++	4:14.2.0-1	arm64	13	exact
g++-14	14.2.0-19	arm64	35	exact
g++-14-aarch64-linux-gnu	14.2.0-19	arm64	33334	exact
g++-aarch64-linux-gnu	4:14.2.0-1	arm64	11	exact
gcc	4:14.2.0-1	arm64	36	exact
gcc-14	14.2.0-19	arm64	610	exact
gcc-14-aarch64-linux-gnu	14.2.0-19	arm64	61641	exact
gcc-14-base:arm64	14.2.0-19	arm64	112	exact
gcc-aarch64-linux-gnu	4:14.2.0-1	arm64	23	exact
gdb	16.3-1	arm64	16174	exact
gdisk	1.0.10-2+b1	arm64	1089	exact
gettext-base	0.23.1-2	arm64	812	exact
gnupg	2.4.7-21	all	468	exact
gnupg-l10n	2.4.7-21	all	5010	exact
gnupg-utils	2.4.7-21+b3	arm64	921	exact
gpg	2.4.7-21+b3	arm64	1670	exact
gpg-agent	2.4.7-21+b3	arm64	1002	exact
gpg-wks-client	2.4.7-21+b3	arm64	302	exact
gpgconf	2.4.7-21+b3	arm64	459	exact
gpgsm	2.4.7-21+b3	arm64	700	exact
gpgv	2.4.7-21+b3	arm64	620	exact
gpiod	2.2.1-2+deb13u1	arm64	459	exact
grep	3.11-4+b1	arm64	1263	exact
groff-base	1.23.0-9	arm64	4500	exact
gzip	1.13-1	arm64	288	exact
hostname	3.25	arm64	90	exact
htop	3.4.1-5	arm64	464	exact
init	1.69~deb13u1	arm64	17	exact
init-system-helpers	1.69~deb13u1	all	133	exact
initramfs-tools	0.148.3+rpt2	all	53	exact
initramfs-tools-bin	0.148.3+rpt2	arm64	88	exact
initramfs-tools-core	0.148.3+rpt2	all	166	exact
inotify-tools	4.23.9.0-2+b1	arm64	297	exact
iproute2	6.15.0-1	arm64	4208	exact
iputils-arping	3:20240905-3	arm64	92	exact
iputils-ping	3:20240905-3	arm64	243	exact
iso-codes	4.18.0-1	all	23094	exact
iw	6.9-1+b1	arm64	353	exact
kbd	2.7.1-2	arm64	3007	exact
keyboard-configuration	1.242~deb13u1	all	2861	exact
klibc-utils	2.0.14-1	arm64	2304	exact
kmod	34.2-2	arm64	279	exact
kms++-utils	0~git20250807.1813ada-1	arm64	474	exact
less	668-1	arm64	500	exact
libacl1:arm64	2.3.2-2+b1	arm64	102	exact
libalgorithm-diff-perl	1.201-1	all	129	exact
libalgorithm-diff-xs-perl	0.04-9	arm64	94	exact
libalgorithm-merge-perl	0.08-5	all	43	exact
libapparmor1:arm64	4.1.0-1	arm64	163	exact
libapt-pkg7.0:arm64	3.0.3	arm64	3643	exact
libasan8:arm64	14.2.0-19	arm64	10515	exact
libasound2-data	1.2.14-1+rpt1	all	200	exact
libasound2t64:arm64	1.2.14-1+rpt1	arm64	1269	exact
libassuan9:arm64	3.0.2-2	arm64	184	exact
libatasmart4:arm64	0.19-5+b2	arm64	86	exact
libatomic1:arm64	14.2.0-19	arm64	81	exact
libatopology2t64:arm64	1.2.14-1+rpt1	arm64	153	exact
libattr1:arm64	1:2.5.2-3	arm64	100	exact
libaudit-common	1:4.0.2-2	all	25	exact
libaudit1:arm64	1:4.0.2-2+b2	arm64	223	exact
libavahi-common-data:arm64	0.8-16	arm64	760	exact
libavahi-common3:arm64	0.8-16	arm64	112	exact
libavahi-core7:arm64	0.8-16	arm64	312	exact
libb2-1:arm64	0.98.1-1.1+b2	arm64	88	exact
